Start,Text,Clean
1714,"Gloucestershire, England  Poll Book, 1714 & 1734  XVIII-E 1 volume  12-2-68 Le Maire, Francoise  Papers, 1714-17176.  2 itemse  Louisiana and Pensacola (Escambia Coe), Flae residente  Collection contains a memoir on  Louisiana, 1717, and a letter written in Pensacola, 1714 describing Lae and  Flae and the habits of different tribes of Indianse  Cataloged from Guidee  *les  13 JAN 97 36200127. NDHYme Sims, James (1714-1820) Papers, 1795. London, Middlesex Co., England.  Josiah C. Trent Collection in the History of Medicine--MS%. Div.  4-~8-~60",gloucestershire england poll xviiie le maire francoise louisiana pensacola escambia coe flae residente memoir louisiana written pensacola describing lae flae habits different tribes indianse cataloged guidee les sims james london middlesex england josiah trent history medicinems div
1716,"e  6th 10:3B Berridge, Johny  1716-1793- Letter, 1773-6 1 iteme  British clergymane  A letter from Berridge, divine, to his cousin,  an Anglican a Mrse Leachy commenting on his health, family  matters, and his religious viewse  Cataloged from Guidee *bma  ie Church of neg) ge --0} or ay Correspondencee e  Church of England-— Clergy--Family relationships.     01.FEB 96 34122318 NDHYme Berridge, John (1716-1793)  Papers, 1773  Everton, Bedfordshire, England 18-E 1 item 11-19-70 Buckmaster, Georgee  Account, 1769 July 16, Newport, Rele  1 item (4 pe)e  Captain of brigantine Ciceroe  Records sales and disbursements for a trading vessel mostly in Georgia during February and May, 1869, and at Mole Ste Nicholas, Haiti, in Aprile Itemizes goods, customers, prices, and purchases ef goods and servicese Customers mentioned include Gove James Wright of Georgiae  le Wright, James, Sirs 1716-1785. 2e Cicero (Ship)e 3e Georgia-—-Commercee 4. Georgia--Governorse 5-e Haiti--— Commercee 6c Rhode Island-—Commercee Ie Place: Rho de Island--Newporte  28.MAR 89 19464984 NDHYme GERMAIN, LORD GEORGE (1716-1785)  See: Germain, George Sackville, First Vis-  count Sackville",berridge johny iteme british clergymane berridge divine cousin anglican mrse leachy commenting health matters religious viewse cataloged guidee bma ie church neg ge ay correspondencee church clergyfamily relationships berridge john everton bedfordshire england buckmaster georgee account newport rele pee captain brigantine ciceroe sales disbursements trading vessel mostly georgia february mole ste nicholas haiti aprile itemizes goods customers prices purchases ef goods servicese customers mentioned gove james wright georgiae le wright james sirs cicero shipe georgiagovernorse commercee rhode ie place rho de islandnewporte germain lord george germain george sackville vis count sackville
1717,"cect Bryan Family Gace Bryan,  = ‘” — J onn .  Heritage |  Papers, 1717-1956. >  New Bern, Craven Co., 49 14  289  2496  18-C  3-6-35 Recatalogued as  J. H. Bryan Papers 9-25-62  24  NUCHC  ae romeo  N. C.  items  items added, 3-31-43  items added, 9-25-62  items & 36 vols. added 1-12-68  items & 2 vols. added,  (Entered in the2-11-69  Recatalogued as Bryan NUCNC as bryan, Jonn  Framily ae Heritage. ) Bryan Family Papers, 1717-1956 New Bern, Craven Co., N. C.  18-C 70 items added, 7-7-72 1 vol. transferred, 2-9-73 Byrd, William  Papers, 1717-57  cCharles City County; Virginia  Section A 1 item 11-5-33 1 "" added 2-27-34 7 it i 7-29.42 3 items . 6th 10:D,  @  179 itemse  Letters from many leading British political figures touching upon the main themes of the eighteenth and nineteenth centuries: the Irish question; rural education; the Napoleonic Wars; the bombardment of Canton; Balkan affairs; Chartist and Corn Law agitation; abolition of slavery; Poor Laws; political alliances; and democracye  Cataloged trom guidee  *hab  -Brwin""Oft-tc ec a Britain papers (political), 1717-  19981105 #40248684 NDHYme SEE NEXT CRD Great Britain  Papers (Political), 1717-1944 & n. d.  ¥. Pe XVIII-G 10-24-58  in Great Britain  32 3  78 1 1  20  items items  items item item items  transf. to other col- lections  added, 3-30-61  added, 11-12-60 added, 11-30-60 added, 5-9-61 Great Britain. Southern Department. Diplomatic Dispatches. Spain,  1717-1732 London, England Vol. I  402 pp. Boards 32 x 208 cm.  Vol, II  324 pp. Boards 31 x 208 cm. (Entered in the National Union G talog  S°GU. Brit. secretary of State for  6-1-62 toe YoU “@e@ Dept.)  XVIII-G Johnston, Zachariah and Thomas  Papers, 1717-1858  Augusta and Rockbridge Counties, Va.  626 items  2=<B and 7 vols.  10-5-60  (Entered in the National Union Catalog of Manuscript Collections as Johnston, Zachariah. ) Xerographic copies of entire collection except vols., as cataloged through Oct. 1960, filed  with collection.",cect bryan gace bryan onn heritage bern craven recatalogued bryan nuchc ae romeo entered recatalogued bryan nucnc bryan jonn framily ae heritage bryan bern craven transferred byrd william ccharles city county virginia leading british political figures touching upon main themes eighteenth nineteenth centuries irish question rural education napoleonic wars bombardment canton balkan affairs chartist corn law agitation abolition slavery poor laws political alliances democracye cataloged trom guidee hab brwinofttc ec britain political great britain political pe xviiig great britain transf col lections great britain southern department diplomatic dispatches spain london england ii entered national union talog brit secretary state toe dept xviiig johnston zachariah thomas augusta rockbridge counties va entered national union catalog manuscript johnston zachariah xerographic copies entire except cataloged filed
1718,"e 2nd 72:A Zollicoffer-Webb family papers, 1718-  1897.  178 itemse  Halifax Coe, NeCe residentse  Collection contains a variety of papers including 18th century letters in Germane The 18th century correspondence in English relates to trade, some with English merchantse Some Legal papers include warrants issued in NeCe; a surveyor's report, and a certificate of discharge from Company K of the ist Regte, of NeCe troops issued to Private William Ee Webbe The financial papers consist mainly of bills and receipts of Mrse Ann Webb and other Webb family memberse & :  Unprocessed collectione Cataloged  28 APR 97 36815865 NDHYme SEE NEXT CRD",zollicofferwebb halifax coe nece residentse variety century germane century correspondence english relates trade english merchantse legal warrants issued nece surveyors certificate discharge ist regte nece troops issued private william ee webbe financial consist mainly bills receipts mrse ann webb webb memberse unprocessed collectione cataloged
1719,"Codrington, William, Sir, 1719-1792.  Letterbook, 1762-17686  ive (45 Pe )e  Member of British Parliament, 1747- 1792. Owner of island of Barbuda in West Indiese Resident of Dodington Park, Gloucestershire, Englande  Copies of letters from Codrington in England to his plantation managers on Barbudae Topics include: plantation management; sugar crops and marketing; slaves, slave trade; and slave breeding; emigration from England to Barbuda; indentured servants; artisans and other workers; agriculture; cattle, horses, goats, sheep, dogs; and their breeding; deb t collection; a physician; pr eference for shipping on London ves sels rather than New  31 AUG 90 22299976 NDHYme SEE NEXT CRD aison Family Papers, 1719-1857 Sampson Co., N. C. XIII-C 22 items  5-20-63 Knox, Henry Papers, 1719-1825 Negative 55 reels  See following cards",codrington william sir letterbook ive pe e member british parliament owner island barbuda west indiese resident dodington park gloucestershire englande copies codrington england plantation managers barbudae topics plantation management sugar crops marketing slaves slave trade slave breeding emigration england barbuda indentured servants artisans workers agriculture cattle horses goats sheep dogs breeding deb physician pr eference shipping london ves sels rather aison sampson xiiic knox henry negative reels following cards
1720,"e 2nd S8:SE, 592A_ Ovsze Box 8 McKeen-Duren family papers, 1720-19346 4392 itemse Residents of Bradford, Vermonte Collection includes correspondence, much sent during the Civil War period, of Silas McKeen, a Congregational minister, and his children, especially Philena and Phoebee Philena was for many years principal of Abbott Academy in Andover, Masse Phoebe taught theree Family member Serena married Congregationalist Reve Charles Durene Silas McKeen had interest in the anti- slavery movement and missionary work among Indianse Included are sermons, articles, add resses of McKeen and Dureny, writin@® @S: scrapbooks, a diaries, 18th century deeds, wills, 16 DEC. 96 36097118 NDHYme SEE NEXT CRD Richardson, Davis  Papers, 1720-1885  Frederick, Frederick Co., Md.  12-¢ 1657 10 1-7-55 29  25  items  items added, 9-26-58 items and 2 vols. added, 6-19-62  items added, 11-21-69",ovsze box mckeenduren residents bradford vermonte includes correspondence much sent civil war period silas mckeen congregational minister children especially philena phoebee philena years principal abbott academy andover masse phoebe taught theree member serena married congregationalist reve charles durene silas mckeen interest anti slavery movement missionary work among indianse sermons articles add resses mckeen dureny scrapbooks diaries century deeds wills richardson davis frederick frederick md
1721,"e 6th 10:2B Gage, Thomas, 1721-1787. Letter, 1775 1 iteme Commander-in-chief of British forces in North America (1763-1773, 1775) and last royal governor of Massachusetts (1774-1775 )e Collection consists of a letter from  Sir James yzegess tore’ governor of  Georgia (1760-17 Je He wrote to Gage to request that he be kept informed of developments in Massachusettse Wright indicated that he expected Georgia to follow the example of the other colonies and that the means of defense available to him were inadequatee  ao. eee ‘eo Guidee  cs  25 JUN 98 39352895 NDHYme SEE NEXT: CRD Pitt, William, First Earl of Chatham Papers, 1721-1783 London, England  XVIII-% 1 item  2 items added, 1-23-67 1-26-56 6th 112A Pitt; William, Earl of Chatham, 1708-  Ss Papers, 1721-1783-< 3 itemse British statesmane Collection contains an outline of the administrative organization, functions, and personnel of the Board of Treasury  and its relations with other departments of the government of England and of Scotlande This was compiled from Chatham  in the Public Record Office, Londone Atso included is an indenture between Lucy (Tindall ) Ridgeway, Countess of Londonderry, and Thomas Rutly, mariner cf Tormohany, Devonshire, 1721. There is aiso® an undated note: in which Chatham wished success for  01 JUN 98 39208685 NDHYme SEE NEXT CRD",gage thomas iteme commanderinchief british forces north america last royal governor massachusetts e consists sir james yzegess governor georgia je wrote gage request kept informed developments massachusettse wright indicated expected georgia follow example colonies means defense available inadequatee ao guidee cs pitt william earl chatham london england xviii pitt william earl chatham ss british statesmane outline administrative organization functions personnel board treasury relations departments government england scotlande compiled chatham public office londone atso indenture lucy tindall ridgeway countess londonderry thomas rutly mariner cf tormohany devonshire undated note chatham wished success
1722,"e 2nd 54:C Curt, Louis, chevalier de, 1722-1804? Letterbooks, 1792-1802. 2 volse French politician and specialist in French West Indian affairse Letterbooks containing letters (most in French) to de Curt and a few letters refering to hime Vole 1 contains many letters from Charles Jenkinson, Lord Hawkesbury (later first Earl of Liverpool) discussing the French West Indies in his capacity as Minister for Navy and Commercee Hawkesbury referred in particular to the 1794 capture of the West Indies by Sir Charles Grey and Sir John Jervis, also mentioning de Curt's plan t o recover Guadaloupe and the circu@ lation of counterfeit mony in Marti niquee A few 25 APR 97 36806054 NDHYme SEE NEXT CRD Hobhouse, Isaac, and Company Papers, 1722-1755 Bristol, Gloucestershire, England  1 reel 7-1-64 Positive  . from the Bristol Central Library and the Bristol Record Office.  Date of order: 4-22-64 Date received: 6-29-64 Fund: General Price: $14.63 Nunn, Romulus Armistead   Papers, 1722-1960  New Bern, Craven County, North Carolina  2-D, 7007-7010, 13,633 items and 17 vols.  10-18-74  (See also bound volume cards) Pownall, Thomas, 1722-1805-¢  Memorandum on examination of John Hustler, 1781 October 31, Lincoln, Enge  1 item (1 Pe d)e  33 Hamilton, William Baskerville, 1908- .e« Collectione  Forms part of: William Baskerville Hamilton Collectione  British politician and antiquarye  Records the responses of Hustler and two other Quakers, representatives of woolen manufacturers in Yorkshire, to questions about the depressed state of the wool trade and the opposition to the export of heavy woole  ie Hustler, Johny 1715-1790. 2 Wool trade and ind ustry--England.e 3-6 Yorkshire (En eS see e eee enie conditionse 4. Quakers--Englande  28 MAR 89 19465117 NDHYme",curt louis chevalier de letterbooks volse french politician specialist french west indian affairse letterbooks containing french de curt refering hime vole charles jenkinson lord hawkesbury later earl liverpool discussing french west indies capacity minister navy commercee hawkesbury referred particular capture west indies sir charles grey sir john jervis mentioning de curts plan recover guadaloupe circu lation counterfeit mony marti niquee hobhouse isaac bristol gloucestershire england reel positive bristol central library bristol office date order date received fund general price nunn romulus armistead bern craven county north carolina bound cards pownall thomas memorandum examination john hustler lincoln enge pe de hamilton william baskerville collectione forms part william baskerville hamilton collectione british politician antiquarye responses hustler quakers representatives woolen manufacturers yorkshire questions depressed state wool trade opposition export heavy woole ie hustler johny wool trade ind ustryenglande yorkshire en es enie conditionse quakersenglande
1723,"Burrington, George  Papers, 1723-1732 London, England 18-E 9-14-71 Hart, Olivere  qhorze 1723-17806  Ve  Pastor of the Baptist church in Charleston, SeCey 1750-17806  Coll ection consists of a mimeographed copy of Hart's diary, prepared by the South Carolina Baptist Historical Societye Included is information on the history of the church in Charleston and on the occupation of Charleston by British forces, 1780-« Notes accompanying the diary by Loulie Latimer Owens provide biographical information on Harte A portion of the diary was printed in the ""Charleston Year Book,"" 1 896e  Cataloged ¢ rom Guidee  ¥*Llcs  23 JUL 98 39537402 NDHYme SEE NEXT CRD Palliser, Hugh, Sir, 1723-1796. Note, 1770s?e 1 iteme British Admirale A note on the cover of a missing Llettere The note refers to the enclosed Letter on the 14th from Palliser, who has given intelligence information to the British regarding a vessel that is to be purchased or detained for His Majesty's usee Unprocessed collectione Cataloged from accession recorde * lbp Great Britain-——History-——1760—1789- Ships--Great Britaine  10 MAY 95 32452504 NDHYme e 6th 10:2B Price, Richard, 1723-1791.  Papers, ece (Card 2) selected from the List of mathematical and philosophical instruments sent him by a Dre Styles, and an invoice of a philosophical apparatus for Yale College, 1789-6  Cataloged from card cataloge  *Lcos  Ie Adams, Johny 1735-1826e4 IIe Chapone,y Mrse, (Hester), 1727-1801. IiIle Franklin, Benjamin, 1706-1790- IVe Lansdowne, Wiltiiam Petty, Marquis Of, 1737-18054 Ve Priestley, Joseph, 1733-1804e VIe Washington, Soeres 1732-1799. Vile Webster, Noah, 1758-  1843. =  19 DEC 96 36115923 NDHYme",burrington george london england hart olivere qhorze pastor baptist church charleston secey coll ection consists mimeographed copy harts diary prepared south carolina baptist historical societye information history church charleston occupation charleston british forces notes accompanying diary loulie latimer owens provide biographical information harte portion diary printed charleston year cataloged rom guidee palliser hugh sir note iteme british admirale note cover missing llettere note refers enclosed palliser given intelligence information british regarding vessel purchased detained majestys usee unprocessed collectione cataloged accession recorde lbp great shipsgreat britaine price richard ece selected mathematical philosophical instruments sent dre styles invoice philosophical apparatus yale college cataloged cataloge lcos ie adams johny iie chaponey mrse hester iiile franklin benjamin ive lansdowne wiltiiam petty marquis priestley joseph vie washington soeres vile webster noah
1724,"“NTOGRAPH FILE Bolling, William  Letters and Papers. 1724-1882 Goochfand County, Virgina  cab.:3Q 4 boxes, 76 pieces  tc; VIDE |» Addad-2-/6eyq | Iredell, James, Sr. and Jr.  Papers, 1724-1890  Edenton, Chowan Co.; N. C, F u8t 8-52 ;  - 120 11-5-33 4~8-35 2 (Entered in the 8-4 54 3 Nationel Union 11-1-54 4  Catalog of 2-24-60 920   as  : 1 it ided, 1-7- Je mes Iredell Pe pe rs) * em added, 1 7?  (See also bound vol. cards)  items items items vols. items  added added added \tndk**-  64",file bolling william goochfand county virgina boxes pieces tc vide iredell james sr jr edenton chowan c entered nationel union catalog ided je mes iredell pe pe rs em bound cards tndk
1725,"Cooper, Samuel (1725-1783) Papers, 1718-1798 Boston, Suffolk Co., Mass. Cab. 89 324 items  11-21-69 Heath, Wm.,and Curtis, Joseph Papers, 1725-1864  Roxbury, Suffolk Co., Mass.  Section A CUIDE 18 items  if  7-28-54 Pouteau, Claude (1725-1775). Papers, n. d. France,  Josiah C. Trent Collection in the History of Medicine--. Div.  48-60 Pouteau, Claude (1725-1775). Papers, France, 1 item. Sketch. Prescription. Prevost, Angas t ines cae 1725-17866  Papers, 17836  2 ite  NeYe residente  Collection contains a personal letter from Prevost to Samuel Strenger and a document on the ""Return of the Staff of the British American Forces Who are Desirous of Settling with Those of Other Departmentse""  Cataloged from Guidee  *lcs  19 DEC 96 36115925 NDHYme",cooper samuel boston suffolk mass cab heath wmand curtis joseph roxbury suffolk mass cuide pouteau claude france josiah trent history medicine div pouteau claude france prescription prevost angas ines cae ite neye residente personal prevost samuel strenger document return staff british american forces desirous settling departmentse cataloged guidee lcs
1726,"Cist, Lewis Jacobe  Papers, 1726-1896, nede  283 itemse  Resident of Cincinnati, Ohioe  One part of Jacob Lewis Cist's autograph collectione Primarily contains the autographed letters of nineteenth century American military and naval officers, with the signatures of some authors, foreign political figures, and scientists. News clippings, biographical sketches, etchings, and photographs frequently accompany the autographed letters. Among the notable autographs are Signatures from Francis Baylies, Nathaniel Bow ditch, Paul Du Chaillu, vevi@: Ge Farragut, Sam Houston, Will  iam Hudson, Alexander 29 JUL 93 28534428 NDHYme SEE NEXT CRD Mexico (Viceroyalty). Protomedicato Documents from Archivo General de la Nacién, Mexico City, 1726-1816: Reel 1: vol. 1789-1816 vol. 1726-1791 Reel 2: vol. 1771-1815 vol. 1794-1815 Reel 3: vol. 1795-1802  Negative film  Recataloged, 6-21-72 al Wesley Family Papers, 1726-1889 vep. in England  items  items added, 3-12-52 items added, 11-6-54 items added, 6-3-57 item added, 1-25-58 item added, 6-7-67 vol. added, 8-2-68  18-H  6-15-50  MPrRrNMNM NW",cist lewis jacobe nede resident cincinnati ohioe part jacob lewis cists autograph collectione primarily autographed nineteenth century american military naval officers signatures authors foreign political figures scientists news clippings biographical sketches etchings photographs frequently accompany autographed among notable autographs signatures francis baylies nathaniel bow ditch paul du chaillu vevi ge farragut sam houston iam hudson alexander mexico viceroyalty protomedicato documents archivo general de la nacién mexico city reel reel reel negative film recataloged al wesley vep england mprrrnmnm nw
1727,"Anfossi, Pasquale, 1727-1797, cOlimpiade, Selections,  E mi tasci cosi. Recitativo e duetto, Ne giorni tuoi felici. cn.p., 1.4.3 ms, score ¢55 p.3 22 x 28 cm. Marked ""fogli 7."" Recitative and duet for 2 sopranos, violins, violas, oboes, horns and trumpets, From act I of Olimpiade; first produced 1776. Libretto by gaetro Metastasio. @ Transt +e REMSCL- wWffVA% LLS Carter, Robert (1727-1804)  Papers, 1772-1794 RESTRICTED  ""Nomini Hall,"" Westmoreland Co., Va.  18 vols.  7s5-B item added, 10-6-60  8 1  11-5-33 1 item added, 10-2-68 1  Recataloged, 12-29-65 item added, 3-3-83  Part of collection available on . Georgia TRANSFERRED TO THE  sas GEORGIA DEPARTMENT apers, 1727-1905 OF ARCHIVES AND  HISTORY, 10-18-88  v. p. in Georgia  tin cre oh A 3188 items  1 item added, 8-4-58 La 57 162 items added,6-13-62  (Entered in  with Duke University, Georgia Miscellaneous Papers)  Part of collection  available on microfil Papers, 1787 (1840-1900) 1930 “3  \3=~,  1168 items bound vols, (See also bound  M6450 vol. 384 items  cards ) “QUID added 11-8-50  GUIP’ 11-8-54 30 items + added  1 item added 5-10-56 = 1Oitemsadded 9-18-58 Hook, John  Letters, 1727-1805.  Duke University Negative Smith, William (1727-1803)  Papers, 1755-1760 Philadelphia, Philadelphia Co., Pa.  11-6-68 2 items  Returned in March, 1973, to the Maryland Diocesan Archives from which they were stolen years ago. Those Archives are at present in the library of the Maryland Historical Society. See the correspondence of 1971-73  with Archivist F. Garner Ranney.",anfossi pasquale colimpiade selections mi tasci cosi recitativo duetto ne giorni tuoi felici cnp ms score marked fogli recitative duet sopranos violins violas oboes horns trumpets act olimpiade produced libretto gaetro metastasio transt e remscl wwffva lls carter robert restricted nomini hall westmoreland va recataloged part available georgia transferred sas georgia department apers archives history georgia tin cre oh la entered duke university georgia miscellaneous part available microfil bound bound cards hook john duke university negative smith william philadelphia philadelphia pa returned maryland diocesan archives stolen years ago archives present library maryland historical society correspondence archivist garner ranney
1728,"Eichelberger,; Robert Le  Papers, 1728-1984 (bulk 1942-1949).  28,890 items (51 linear fte)e  Access restrictede  United States Army Officere  Diaries, correspondence, military papers, writings and speeches, pictures, scrapbooks, printed material clippings, memorabilia, and audiovisual material chiefly relating to Eichelberger's military careere Prominently highlighted is his participation as a’member of the American Expeditionary Forces in Siberia (1918-1920); the military campaigns he led in New Guinea and the Philippines d@ uring World War II. (1942-1945)>3 @ =: the post-war period when h e commanded alt ground  21 JUL.93 19406113 NDHYme SEE NEXT CRD Avalehle enti 2s, §. Gibbons, William, Jr. patos He Keemitls of  Ante -(3ellim Seta thern Maontiations Sésves  Papers, 1728-1803 Senes - P42 ,  f¢ 2 / ""‘Sharon"", rear Savannah, Chatham,Co.,Ga. 12-A -2 boxes 807 items  and 1 vol. 13-10-56  GUIDE  (Entered in the National Union Catalog of  as the oe” Gibbons Papers  12-5-59 1 item added Warton, Thomas (1728-1790) Papers, 1768 Oxford, Oxfordshire, England  XVILI-E 1 item  12-14-67  ""See also ""Warton, Thomas"" in Inventory File""",eichelberger robert le bulk linear ftee access restrictede united states army officere diaries correspondence military writings speeches pictures scrapbooks printed material clippings memorabilia audiovisual material chiefly relating eichelbergers military careere prominently highlighted participation american expeditionary forces siberia military campaigns led guinea philippines uring world war ii postwar period commanded alt ground avalehle enti gibbons william jr patos keemitls ante seta thern maontiations sésves senes rear savannah chathamcoga boxes entered national union catalog gibbons warton thomas oxford oxfordshire england xvilie warton thomas inventory file
