Collection_Head,Name,Text,Year,Start,End,Loc,Page_drawer,Drawer_No,Link,Coll_head,Collection,Author_Identity,Country,Continent
"Abney, W.","Abney, W.","Abney, W. Ledger, 1861-1863 a. B. 27 pp. Boards 40 1-2 x 16 1-4 cn.  8-6-58 Mereaxtile Qecourts.  SUIDE",1861-1863,1861,1863,,51,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n51,1,20,Male,Unknown,Unknown
Abraham Bell & Sons,Abraham Bell & Sons,"Abraham Bell and Sons (New York, N.Y.) Bett;-xbrahen-&é-Sons  Papers, 1834-1854  1 items  220 items added 2-18-57 8 items added 10-25-59",1834-1854,1834,1854,N.Y.,54,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n54,1,22,Org.,USA,North America
Abraham Bell & Sons,Abraham Bell & Sons,"Bell, Abraham & Sons 2 Subjects mentioned include cotton; and prices current for Charleston, 8. C., in 1841,",1834-1854,1834,1854,Charleston,56,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n56,1,23,Org.,USA,North America
"Abrams, Ian Neile","Abrams, Ian Neile","Abrams, Ian Neile  Papers, 1973-1989.  38 itemse  American writere  Consists largely of drafts of plays, original screenplays, two novels, and a comic operae Titles include PERSONAL MANAGEMENT, CLOAK AND DIAPERS, THE WIZARD OF SANTA MONICA, THE DUST DEVIL IN HIS GREATEST ADVENTURE, MAGIC HANDS, PINAFORE STATE, BASTARD NUMBER THREE, UPPER CRUST, and TRIOe One novel about plastic surgery involved extensive collaboration with James O- Stallings, @ surgeon from Des Moines, Iowae Also included are items concerning an edition by Ab rams of Thomas Sneed's play THE s1sn@ OP OF MISHIGASI OR LASCIVIA'S LO VERSe Other items  29 NOV 94 31526825 NDHYme SEE NEXT CRD",1973-1989,1973,1989,"Titles, Des Moines",58,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n58,1,24,Male,USA,North America
"Acker, Kathy","Acker, Kathy","Acker, Kathy, 1948- ° Papers, 1975-1994. Addition, 49 items (2.5 lin. ft.  Avant-garde cyberpunk author and_ performance artist -- manuscript drafts and vaiours versions of Ackers novels including In Memorium to Identity, Don  Quixote, Great Expectations, Girl Gangs Take Over the World, The Childlike Life of the Black Tarantula, I Dreamt I Became a Nymphomaniac!: Imagining, and The Adult Life of Toulouse Lautrec. Also various drafts of smaller texts such as the filmscript Variety; Ripoff  Red: Girl Detective, whi is an unpublished novel (continued on next ca",1975-1994,1975,1994,Kathy,73,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n73,1,27,Female,USA,North America
"Acland, Sir Henry Wentworth","Acland, Sir Henry Wentworth","Acland, Sir Henry Wentworth Papers, 1868-1877 Oxford, England  Josiah C, Trent Collection in the S items History of Medicine--, Div.  4~-8-60",1868-1877,1868,1877,,80,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n80,1,28,Male,Unknown,Unknown
"Acland, Sir Thomas Dyke","Acland, Sir Thomas Dyke","Acland, Sir Thomas Dyke, Eleventh Baronet  Papers, 1859-1898 London, England 18-E 10-30-70",1859-1898,1859,1898,"London, England",82,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n82,1,29,Male,USA,North America
"Adair, Sir Robert","Adair, Sir Robert","Adair, Sir Robert Papers, 1785-1830 London, England 18-E 2 items  1 item added, 3-18-70 11-11-65",1785-1830,1785,1830,"London, England",90,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n90,1,31,Male,USA,North America
"Adair, William H. P.","Adair, William H. P.","Adair, William H. P.  Papers, 1836-1858  Greenville, Meriwether Co., Ga. 8-22-46 livols.  (See also bound vol. cards)",1836-1858,1836,1858,"Greenville, Ga.",93,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n93,1,32,Male,USA,North America
"Adair, William H. P.","Adair, William H. P.","fAdair, William H. P.]  Account Book, 1841-1843 Greenville, Ga. 148 pp. Boards & Calf 39 x 14 ecm.  Accounts of a tavern keeper who sold drinks  chiefly. Mercantile Cecoumts  AUG 22 ""46  GUIDE a)",1841-1843,1841,1843,"Greenville, Ga.",95,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n95,1,34,Male,USA,North America
"Adair, William H. P.","Adair, William H. P.","Adair, William H. P.  Account Book, 1843-1844  Greenville, Ga. 101 pp. Boards & Calf 40 x 16 cm. Accounts of a tavern keeper who sold drinks  chiefly.  AUG 22 46  GUIDE é",1843-1844,1843,1844,"Greenville, Ga.",96,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n96,1,35,Male,USA,North America
"Adair, William H. P.","Adair, William H. P.","Adair, William H. P.  Day Book, 1848-1849  Greenville, Ga.  362 pp. Boards & Calf 40 x 15 cm.  Records chiefly of sale of whiskey.  AUG 22 46  GUIDE —}",1848-1849,1848,1849,"Greenville, Ga.",99,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n99,1,38,Male,USA,North America
"Adair, William H. P.","Adair, William H. P.","Adair, William H. P.  Day Book, 1850-1851  Greenville, Ga.  295 pp. Boards & Calf 40 x 15 em,  Records pertaining chiefly to the sale of whisky.  AUG 22 1-3  GUID! &",1850-1851,1850,1851,"Greenville, Ga.",100,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n100,1,39,Male,USA,North America
"Adair, William H. P.","Adair, William H. P.","Adair, William H. P.  Day Book, 1850-1858 Greenville, Ga. 250 pp. Calf 32 = 20 cm.  Chiefly records of slaes of drinks, cigars, and small items.  AUG 22 46",1850-1858,1850,1858,"Greenville, Ga.",101,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n101,1,40,Male,USA,North America
"Adair, William H. P.","Adair, William H. P.","Adair, William H. P.  Day Book, 1852-1853  Greenville, Ga. 184 pp. Boards & Calf 30 x 18 cm. Record of drinks sold.  AUG 22 “46  GUDE ©",1852-1853,1852,1853,"Greenville, Ga.",103,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n103,1,42,Male,USA,North America
"Adair, William H. P.","Adair, William H. P.","Adair, William P,  Paperss, 1860-62  Barnesville, Georgia  Section A OCT 10 ""49  GUIDE  5 items",1860-62,1860,1862,"Barnesville, Georgia",105,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n105,1,43,Male,USA,North America
"Adams, Abigail","Adams, Abigail","Adams, Abigail Papers, 1797-1813 Quincey, Mass.  Josiah C. Trent Collection in the & items History of Medicine--. Div.  4-8-60",1797-1813,1797,1813,Mass.,107,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n107,1,44,Female,USA,North America
"Adams, Alfred","Adams, Alfred","Adams, Alfred Papers, 1862-1864 Sugar Grove, Watauga Co., N.C.  Section A 5-17-52 5 items (Photostats)  ¥ vyresxnr* Tyke Pe ANJ i L/L,",1862-1864,1862,1864,"Sugar Grove, N.C.",109,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n109,1,45,Male,USA,North America
"Adams, Charles Francis","Adams, Charles Francis","Adams, Charles Francis, Jr. (13835-1915)  see Adams Family",1835-1915,1835,1915,,111,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n111,1,46,Male,Unknown,Unknown
"Adams, Crawford C.","Adams, Crawford C.","Adams, Crawford C.  Papers, 1867-1885  Washington, D. C. 18-] 15 items & 3 vols. 725-72",1867-1885,1867,1885,Washington,112,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n112,1,47,Male,USA,North America
"Adams, Dacres","Adams, Dacres","Adams, Dacres  Papers, 1785-1805  London, England Negative  1 Reel Public Record Office 30/58:1-6.  Wm. B. Hamilton . (Grenville Research , Reel 7).  6-30-73",1785-1805,1785,1805,"London, England Negative",119,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n119,1,48,Male,USA,North America
"Adams, Edward S.","Adams, Edward S.","e 2nd 90:F (Box 3) Adams, Edward Se Papers, 1931-1939 and nede 15 itemse Historian and resident of Fall River, Masse Letter concerning school teachers of the Canedy family; typescript of a  letter (1794) concerning the transport of slaves from Georgia to Havana; a typescript with manuscript notes concerning the anti-slavery movement; and clippings (1939) from Massachusetts newspapers concerning the abolitionist  movemente +m jd  10 AUG 98 39670274 NDHYme SEE NEXT CRD",1931-1939,1931,1939,"Fall River, Masse, Georgia, Havana, Massachusetts",120,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n120,1,49,Male,USA,North America
"Adams, Herbert Baxter","Adams, Herbert Baxter","Adams, Herbert Baxter Letters, 1891-1913, Baltimore, Maryland Section A 51 pieces (photostats) 1 original  JUL 8 1944",1891-1913,1891,1913,"Baltimore, Maryland",124,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n124,1,51,Male,USA,North America
"Adams, John P.","Adams, John P.","Adems, John p,  Papers. 1846-1851  pUy  Baltimore, d.  Section A  JAN 25 ""59  GUIDE  2 items",1846-1851,1846,1851,Baltimore,134,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n134,1,54,Male,USA,North America
"Adams, Oliver C.","Adams, Oliver C.","Adams, Oliver C.  Papers, 1839-1896  North Canton, Conn.  XVII-A 2-11-56  GUIDE",1839-1896,1839,1896,"North Canton, Conn.",140,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n140,1,57,Male,USA,North America
"Adams, Sarah (Eve)","Adams, Sarah (Eve)","Section A Adams, Sarah (Eve)  Diary, 1813-1814  Richmond County, Georgia 52 pp. Paper  8-30-40 Recataloged, 10-25-65",1813-1814,1813,1814,"Richmond County, Georgia",143,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n143,1,58,Female,USA,North America
"Adams, Sterling","Adams, Sterling","Adams, Sterling Ledger, 1852-1871 Stokes County, N. CO, 130 pp. Boards 39 3-4 x 16 1-2 cn.  Merchant and planter",1852-1871,1852,1871,Stokes County,150,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n150,1,59,Male,USA,North America
"Adams, Thomas","Adams, Thomas","Adams, Thomas Account books, 1768; 1769-1808 Augusta co.,Va. 2 vols,  Nov, 5, 1933",1769-1808,1769,1808,,151,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n151,1,60,Male,Unknown,Unknown
"Adams, Thomas","Adams, Thomas","Adams, Thomas Papers, 1814-1818  Albemarle and Fluvanna Counties, Va.  Section A 4 items  7-27-59",1814-1818,1814,1818,Va.,153,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n153,1,61,Male,USA,North America
"Adams, W.","Adams, W.","86 cAdams, W. Ge3  Physician's account book. 1851-1863  NOV5 1933  A record of Services ang fees",1851-1863,1851,1863,,156,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n156,1,62,Male,Unknown,Unknown
"Adams, Wade Hill","Adams, Wade Hill","Adams, Wade Hill Papers, 1901-1922 New York, N. Y.  Section A  7-8-66  6 items",1901-1922,1901,1922,New York,157,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n157,1,63,Male,USA,North America
"Adams, William C.","Adams, William C.","ADAMS, William Papers, 1832-87 Goochland County, Va.  Section A  74 pleces",1832-87,1832,1887,"Goochland County, Va.",161,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n161,1,64,Male,USA,North America
"Adams, William C.","Adams, William C.","526. “Adams, William C.  Diary, 1829-30; 1857-1863 [Albemarle County J], Va. 360 pp. Boards 33 x 20 cm.  [See following cards for sketch. ] ( Piawter's Draryj  JUL 5 46  GUIDE ri",1829-30,1829,1830,Albemarle County,163,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n163,1,65,Male,USA,North America
Adams Family,Adams Family,"Adams Family Papers, 1777-1912 Quincy, Norfolk Co., section A 3-28-57 see also   card for Tne Adams Papers  Mass.  item items trans., 1-25-58  item added, 11-30-59 item added, 2-8-63 items added, 5-27-68 item trans,, 1-3-69 items added, 7-26-82",1777-1912,1777,1912,"Quincy, Mass.",175,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n175,1,69,Org.,USA,North America
Adams Family,Adams Family,"Adams and Smith Account Book, 1860-62 Lexington, N. C.  54 pp. Boards 19 x 15 cm.  Contains numerous records of purchases of cloth, etc., from Edwin M. Holt but is chiefly a record of sale of salt.  12-14-53 eS  GUIDE",1860-62,1860,1862,Lexington,184,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n184,1,71,Org.,USA,North America
"Addington, Henry Unwin","Addington, Henry Unwin","Addington, Henry Unwin, 1790-1870.  Letters : to Lady Sarah Archer Amherst, 1812, June 20-1816, Auge 3le  27 itemse  British diplomate Appointed Serge tery of Legation to Switzerland in  Fourteen letters, most accompanied by a typed transcript, from Addington to Lady Sarah Amherst of Montreal, Kent, Englande Addington wrote from Cadiz; Zerbst, Liege, Paris, Zurich, London and Bernee In most of the Letters Addington related news and developments in the German campaigns of the Napoleonic Warse He mentioned prominent. pol itical and military figures, inct @ vaing Louis XVIII, Napolean, Sou Lt, Blucher, Ney, and  15 ocT 91 24560898 NDHYme SEE NEXT CRD",1790-1870,1790,1870,"Legation, Switzerland, Montreal, Liege, Paris, Zurich, London",189,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n189,1,74,Male,USA,North America
"Adger, John","Adger, John","Adger, John Letters. 1839-1852  Charleston, South Carolina  -Section A 2 pieces",1839-1852,1839,1852,"Charleston, South Carolina",193,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n193,1,75,Male,USA,North America
"Adkins, Apphia C.","Adkins, Apphia C.","Adkins, Apphia ¢, Papers, 1847-49,  Cumberland Court House, Virginia,  Section A S items,",1847-49,1847,1849,Virginia,195,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n195,1,76,Female,USA,North America
Admittance Cards,Admittance Cards,Admittance Cards. 1811-1880 Vv. Pp.  Josiah C. Trent Collection in the History of Medicine--. Div.  4-8-60  | BF items,1811-1880,1811,1880,,197,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n197,1,77,Org.,Unknown,Unknown
"Adshead, George Haward","Adshead, George Haward","Adshead, George Haward Papers, 1880-1900 Pendleton, Lancashire, England  XVILI-E 10 items 3 items added, 5-17-68 11-5-33  Recataloged, 5-17-68",1880-1900,1880,1900,"Pendleton, Lancashire",202,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n202,1,78,Male,USA,North America
Advertising Collection,Advertising Collection,"Advertising Collection  19th - 20th Centuries  807 items added, 2-17-83 Running total item count in pencil: ~  Ay     932",1800-1900,1800,1900,,207,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n207,1,80,Org.,Unknown,Unknown
Africa,Africa,"Africa  Papers, 1781-1958  ¥. Pp. in Africa 18-E items | items added, 2-25-60* items added, 8-22-61 item added, 9-13-61 item added, 2-1-63 item added, 9-27-63 *Transferred, 5-12-73, to South Africa Papers.  Ke Lo MRR OND  2-24-60",1781-1958,1781,1958,"Africa, South Africa Papers",229,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n229,1,84,Org.,USA,North America
Africa News Service,Africa News Service,"e 7th level cagee Africa News Service (Durham, NeCe Je The LeRoy Te Walker Africa News Archive, 1967-1995 and nede 396,000 items.  News service founded in Durham, NeCey 1973_— by Serer Te Walkere 3  Resource files of newspaper clippings, articles, press releases, reports, and other printed materials assembled by the Africa News Service, an organization devoted to archiving and distributing information on current events in Africae Sub,jects cover all aspects of middle to Late twentieth century African history, with an emphasis on f oreign and internal relations, po Litical movements, the rise and fall of governments, and  22 JAN 98 38247194 NDHYme SEE NEXT CRD",1967-1995,1967,1995,Durham,256,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n256,1,85,Org.,USA,North America
African travel diary,African travel diary,"African travel diary, 1921-1926 (bulk 1921-1922). 1 item (106 pe )e Summary: Written apparently by an Englishwoman, oviaeril? tracing her  journey through the Great Rift Valley in Africae Entries begin on October 14, 1921 when she is at Livingstone,  near Victoria Falls, and conclude on July 12, 1922 at Kasanga;, Tanzaniae Described are the flora and fauna, campsites, travel arrangements, and her encounters with the nativese She comments upon the European communities she visits, some of them missionary settlements, the social Life and customs of th e settlements, and the schools for t he aoe se childrene Also includes a few pages entered 10 SEP 91 24349246 NDHYme SEE NEXT CRD",1921-1926,1921,1926,"Livingstone, Kasanga",259,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n259,1,86,Org.,USA,North America
African-American photograph collection,African-American photograph collection,"e Snd—662) (97-033) African-American photograph collection, cae 1890-1930 and nede 50 itemse Chiefly single portraits of African- American adults, with a few images of childrene Images document African-— American Life, particularly dress and hairstyles for various time periods in American historye Includes images of women, WWI soldiers, sports groups, and aonen® picturese One item is an album pas tone cane taken at Bluefield State os ege, Bluefield, West Virginiae The photographs in accession 97-033 were collected from various places in North Carolina and Virginia but the geographical identity of the photographed subjects may be from 22 JAN 98 38247718 NDHYme SEE NEXT CRD",1890-1930,1890,1930,"North Carolina, Virginia",261,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n261,1,87,Org.,USA,North America
"Agassiz, Jean Louis Rodolphe","Agassiz, Jean Louis Rodolphe","Agassiz, Jean Louis Rodolphe Papers, 1836-1861 Cambridge, Mass.  Josiah C. Trent Collection in the History of Medicine--, Div.  4-8-60  2 items",1836-1861,1836,1861,"Cambridge, Mass.",263,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n263,1,88,Male,USA,North America
"Agg, John","Agg, John","Agg, John Papers, 1797-1846 Washington, D.C, 14-6 1-30-71  209 items & 1 vol.",1797-1846,1797,1846,"Washington, D.C",266,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n266,1,89,Male,USA,North America
"Aglionby, Frances (Walker) Yates","Aglionby, Frances (Walker) Yates","Aglionby,* Frances (Walxer)Yates Papers, 1821-1933  """"t. Pleasant,"" Charles Town, Jefferson Co. “Va,  HVII-A 1009 items 10-17-58 1 added 10-13-55 10-18-58 2 added  * Pronounced Ag-lun-by",1821-1933,1821,1933,,283,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n283,1,90,Female,Unknown,Unknown
"Agnew, Cornelius Rea","Agnew, Cornelius Rea","Agnew, Cornelius Rea Papers, 1875-1888 New York, N.Y. Section A 15 items  7-31-82",1875-1888,1875,1888,"New York, N.Y.",340,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n340,1,91,Male,USA,North America
"Agnew, David Hayes","Agnew, David Hayes","Agnew, David Hayes Papers, 1857-1880 Philadelphia, Pa.  Josiah C, Trent Collection in the History of Medicine--. Div,  4-8-60  3 items",1857-1880,1857,1880,"Philadelphia, Pa.",344,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n344,1,92,Male,USA,North America
"Agnew, William G. and J.S","Agnew, William G. and J.S","Ay  gnew, William. G. and J. S,  Letters, 1861-1864 Alpine, Chattooga co., Ga.  Section A AUC2S 4g 62 items. A =e 9y of items cataloged before 1979 is  SUIDE available on , AW i  K Corts loned ao Ajpow, [i Wicrwn G,",1861-1864,1861,1864,Ga.,346,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n346,1,93,Org.,USA,North America
"Agours, Eglantine","Agours, Eglantine","Agours, Eglantine  Papers, 1856-1889  Stanton, Haywood Co., Tenn. Section A 22 items  7-8-71",1856-1889,1856,1889,,350,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n350,1,94,Female,Unknown,Unknown
"Aichel, Oskare","Aichel, Oskare","Aichel, Oskare  Correspondence, 1861-18634  10 items.  In German scripte  Chiefly letters from Aichel in Cokesbury and Charleston, SeCey, to his fiance and wife Martha, relating to personal and family affairs and to life and events in war-time Charlestone Also  includes an exchange of letters (1861) between Aichel and a friend ""Margarethe He  1e South Carolina--History——-Civil War, 1861-1865e 2¢ Charleston (SeCe )-—— Social Life and customse  09 APR 87 15507707 NDHYme",1861-1863,1861,1863,"Cokesbury, Charleston, South Carolina, SeCe",354,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n354,1,97,Male,USA,North America
"Alabama, Dallas County","Alabama, Dallas County","Alabama, Dallas County Chancery Court Docket, 1856-1863 Selma, Dallas Co., Ala, . Cab. 107 - 8862 1 vol. (fragment) 11-25-57  GUIDE",1856-1863,1856,1863,"Alabama, Dallas, Selma",368,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n368,1,103,Male,USA,North America
"Albea, William W.","Albea, William W.","Albea, William W.  Notebook, 1833-1848  (In the Methodist Church Papers) ti | \",1833-1848,1833,1848,,372,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n372,1,106,Male,Unknown,Unknown
Albermarle County,Albermarle County,"Albermarle County, Virginia daybook, 1838-1840. 1 Ve Unidentified daybook from Millington, Albemarle County, Vaey possibly of a general merchant and millere Unprocessed collectione Cataloged a accession recorde pJ  1e Albermarle County (Vae )——Economic conditionse 2.e Business records-— Virginia--19th centurye 3e Genre: Daybookse 4e Millington ( Vae )--  Historye =  10 MAY 95 32452351. NDHYme",1838-1840,1838,1840,"Albermarle County, Virginia, Millington, Albemarle County, Virginia--19th, Historye",373,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n373,1,107,Org.,USA,North America
"Alderman, Jacob O.","Alderman, Jacob O.","Alderman, Jacob Oc  Papers, 1884-1906.  29 itemse  Clergyman and college professore  Chiefly correspondence, 1889-1906, between Alderman and his wife, Mary Me Aldermane Letters mention family and church topics and were written from various locations in North Carolina, including Cooper, Raleighy Dunn, Durham, Hendersonville, Concord, Graham, Hillsboro, Edenton, and Durhame Included also is a brief journal for July 1904, which Alderman sent to his wifee  1. Family Life--North Carolinae 2e Baptists-- Clergye 3. Occupation: C lergy--North Carolinas  02 APR 87 15477081 NDHYme",1884-1906,1884,1906,"North Carolina, Durham, Hendersonville, Concord, Graham, Edenton, North Carolinas",382,157,https://archive.org/details/rubensteinmanuscriptcatalog_A_to_Amer/page/n382,1,112,Male,USA,North America
